year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0004363953742090334	2	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0.0007234581298607343	4	5529
1979	0.00037885963250615644	2	5279
1980	0.0007380073800738007	4	5420
1981	0.0007506098705197974	4	5329
1982	0.00037601052829479227	2	5319
1983	0.0005676442762535478	3	5285
1984	0.0007513148009015778	4	5324
1985	0.0005249343832020997	3	5715
1986	0.0001928268414963363	1	5186
1987	0.0005485463521667581	3	5469
1988	0.001452696568004358	8	5507
1989	0.0008716875871687587	5	5736
1990	0.00017543859649122806	1	5700
1991	0.0005092514004413513	3	5891
1992	0.0005018400802944129	3	5978
1993	0.0006712535660345696	4	5959
1994	0.0011610549013103333	7	6029
1995	0.001245136186770428	8	6425
1996	0.0007567731194187983	5	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.0007295719844357977	6	8224
2001	0.0007201497911565605	5	6943
2002	0.0007670182166826462	4	5215
2003	0.0008335648791330926	6	7198
2004	0.001197246333433104	8	6682
2005	0.001461038961038961	9	6160
2006	0.0011527377521613833	4	3470
2007	0.0004764173415912339	1	2099
2008	0.0004491555874955084	5	11132
2009	0.0004767580452920143	8	16780
2010	0.00026014568158168577	4	15376
2011	0.0006127450980392157	9	14688
2012	0.0006591167835100965	11	16689
2013	0.0001562744178777934	3	19197
