year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0018126888217522659	3	1655
1948	0.000496031746031746	1	2016
1949	0.0019984012789768186	5	2502
1950	0.002163721601153985	6	2773
1951	0.002841918294849023	8	2815
1952	0.005833905284831846	17	2914
1953	0.007253544345532476	22	3033
1954	0.0012281240405280934	4	3257
1955	0.001557632398753894	6	3852
1956	0.0005212405525149857	2	3837
1957	0.001041938004688721	4	3839
1958	0.0008023535704733886	3	3739
1959	0.0010484927916120576	4	3815
1960	0.0015894039735099338	6	3775
1961	0.0006798096532970768	3	4413
1962	0.0009599232061435085	4	4167
1963	0.0008727907484180668	4	4583
1964	0.0008008008008008008	4	4995
1965	0.0009319664492078285	5	5365
1966	0.0012704174228675136	7	5510
1967	0.000709471443774388	4	5638
1968	0.0025075225677031092	15	5982
1969	0.0010355540214014498	6	5794
1970	0.0021859761224146627	13	5947
1971	0.001996805111821086	10	5008
1972	0.001941433425012134	12	6181
1973	0.002702702702702703	16	5920
1974	0.002478551000953289	13	5245
1975	0.0034239677744209466	17	4965
1976	0.005251896518187123	27	5141
1977	0.004445267642155954	24	5399
1978	0.006149394103816242	34	5529
1979	0.004735745406326956	25	5279
1980	0.0035055350553505533	19	5420
1981	0.0030024394820791895	16	5329
1982	0.006016168452716676	32	5319
1983	0.004919583727530747	26	5285
1984	0.007700976709241172	41	5324
1985	0.0055993000874890635	32	5715
1986	0.007520246818357115	39	5186
1987	0.004936917169500823	27	5469
1988	0.005447612130016342	30	5507
1989	0.004358437935843794	25	5736
1990	0.005087719298245614	29	5700
1991	0.005092514004413512	30	5891
1992	0.006022080963532954	36	5978
1993	0.006041282094311126	36	5959
1994	0.004975949577044286	30	6029
1995	0.004202334630350194	27	6425
1996	0.004843347964280309	32	6607
1997	0.004445267642155954	24	5399
1998	0.0035842293906810036	13	3627
1999	0.0036785512167515563	26	7068
2000	0.004377431906614786	36	8224
2001	0.0036007489557828027	25	6943
2002	0.003835091083413231	20	5215
2003	0.004584606835232009	33	7198
2004	0.0022448368751870696	15	6682
2005	0.001948051948051948	12	6160
2006	0.0023054755043227667	8	3470
2007	0.004287756074321105	9	2099
2008	0.002605102407473949	29	11132
2009	0.00399284862932062	67	16780
2010	0.0036420395421436005	56	15376
2011	0.00360838779956427	53	14688
2012	0.003415423332734136	57	16689
2013	0.003073396884929937	59	19197
